file,selected_method,winning_method,adaptive_gaussian,hybrid_deshadow,otsu_deshadow,sauvola_deshadow
0.jpg,adaptive_gaussian,adaptive_gaussian,67.11,59.24,58.79,66.8
1.jpg,otsu_deshadow,otsu_deshadow,57.18,53.73,63.35,44.45
10.jpg,hybrid_deshadow,hybrid_deshadow,36.56,50.04,49.23,38.05
11.jpg,otsu_deshadow,otsu_deshadow,61.0,54.01,67.26,65.48
12.jpg,adaptive_gaussian,adaptive_gaussian,57.87,46.85,54.88,57.78
13.jpg,otsu_deshadow,otsu_deshadow,55.32,45.69,55.94,54.75
14.jpg,otsu_deshadow,otsu_deshadow,38.99,49.66,55.66,52.19
15.jpg,otsu_deshadow,otsu_deshadow,49.1,47.6,57.71,51.69
16.jpg,otsu_deshadow,otsu_deshadow,55.92,45.04,66.07,64.36
17.jpg,hybrid_deshadow,hybrid_deshadow,52.54,59.75,51.04,48.24
18.jpg,otsu_deshadow,otsu_deshadow,27.3,32.54,50.87,42.07
19.jpg,otsu_deshadow,otsu_deshadow,32.21,41.09,55.93,52.85
2.jpg,otsu_deshadow,otsu_deshadow,36.04,39.83,49.77,44.58
20260225_223207.jpg,sauvola_deshadow,sauvola_deshadow,68.59,39.4,57.71,71.56
20260226_110018.jpg,adaptive_gaussian,adaptive_gaussian,57.44,29.35,55.0,54.58
20260226_133935.jpg,adaptive_gaussian,adaptive_gaussian,67.82,58.97,63.36,62.11
20260226_134043.jpg,sauvola_deshadow,sauvola_deshadow,70.0,49.3,65.22,70.26
20260226_134059.jpg,sauvola_deshadow,sauvola_deshadow,67.89,46.11,63.08,67.93
20260226_134128.jpg,adaptive_gaussian,adaptive_gaussian,58.56,31.52,56.03,55.75
20260226_153924.jpg,sauvola_deshadow,sauvola_deshadow,72.91,66.26,66.8,72.94
20260226_153936.jpg,adaptive_gaussian,adaptive_gaussian,71.46,57.34,63.49,68.74
3.jpg,otsu_deshadow,otsu_deshadow,52.31,50.94,56.41,48.95
4.jpg,otsu_deshadow,otsu_deshadow,54.11,52.93,61.57,57.45
5.jpg,adaptive_gaussian,adaptive_gaussian,60.04,43.92,58.28,59.25
6.JPG,adaptive_gaussian,adaptive_gaussian,72.81,67.12,64.47,65.06
7.jpg,otsu_deshadow,otsu_deshadow,55.92,45.04,66.07,64.36
8.jpg,otsu_deshadow,otsu_deshadow,59.59,54.18,62.68,60.75
9.jpg,otsu_deshadow,otsu_deshadow,41.31,32.87,46.09,40.54
a01-011x.png,adaptive_gaussian,adaptive_gaussian,47.33,43.87,41.11,44.45
a01-014.png,hybrid_deshadow,hybrid_deshadow,62.19,65.18,45.45,46.02
a01-026u.png,hybrid_deshadow,hybrid_deshadow,61.3,72.28,54.7,56.12
a01-026x.png,adaptive_gaussian,adaptive_gaussian,51.84,44.92,41.91,46.64
a01-030.png,hybrid_deshadow,hybrid_deshadow,60.98,64.38,46.56,47.87
a01-030u.png,hybrid_deshadow,hybrid_deshadow,60.93,68.85,55.85,56.3
G6miiqkWkAAn-bE.jpeg,adaptive_gaussian,adaptive_gaussian,65.19,48.26,64.02,54.25
IM102426.jpg,otsu_deshadow,otsu_deshadow,56.91,56.14,58.38,51.74
thehousedividedcontentpg2.jpg,otsu_deshadow,otsu_deshadow,59.85,56.52,62.11,55.69
we-all-want-impossible-things-catherine-newman.png,sauvola_deshadow,sauvola_deshadow,59.55,41.35,59.53,63.54
