file,forced_detection_method,resolved_detection_method,detection_success,usable_scan,quality_status,rejection_reason,binarization_method,benchmark_binarization_mode,overall_score,detection_confidence,sharpness,skew_angle,binarization_score
0.jpg,contour,fallback,0,0,rejected,conf<0.35,otsu_deshadow,otsu_deshadow,61.4,0.1,1564.72,2.01,56.28
0.jpg,threshold,threshold,1,1,accepted,,otsu_deshadow,otsu_deshadow,77.2,0.88,1574.9,0.0,58.79
0.jpg,hough,hough,1,1,accepted,,otsu_deshadow,otsu_deshadow,75.6,0.99,1831.48,-2.01,59.18
0.jpg,corners,corners,1,1,accepted,,otsu_deshadow,otsu_deshadow,71.5,0.865,2898.07,-2.92,54.53
1.jpg,contour,fallback,0,0,rejected,conf<0.35,otsu_deshadow,otsu_deshadow,63.3,0.1,1432.97,-2.08,48.62
1.jpg,threshold,threshold,1,1,accepted,,otsu_deshadow,otsu_deshadow,79.1,1.0,2233.25,0.9,63.35
1.jpg,hough,hough,1,1,accepted,,otsu_deshadow,otsu_deshadow,77.8,0.988,1874.02,0.83,64.2
1.jpg,corners,corners,1,1,accepted,,otsu_deshadow,otsu_deshadow,72.8,0.839,2276.0,3.02,60.57
10.jpg,contour,contour,1,0,rejected,binary<45,otsu_deshadow,otsu_deshadow,70.1,0.979,2870.85,-5.91,44.51
10.jpg,threshold,threshold,1,1,accepted,,otsu_deshadow,otsu_deshadow,79.0,1.0,3122.68,-1.87,49.23
10.jpg,hough,hough,1,1,accepted,,otsu_deshadow,otsu_deshadow,77.3,0.934,1783.04,-2.06,48.02
10.jpg,corners,corners,1,1,accepted,,otsu_deshadow,otsu_deshadow,71.1,0.815,1821.53,4.04,62.59
11.jpg,contour,fallback,0,0,rejected,conf<0.35,otsu_deshadow,otsu_deshadow,64.1,0.1,1152.18,-3.87,63.8
11.jpg,threshold,threshold,1,1,accepted,,otsu_deshadow,otsu_deshadow,78.0,1.0,1450.87,-3.4,67.26
11.jpg,hough,hough,1,1,accepted,,otsu_deshadow,otsu_deshadow,73.7,0.966,1065.77,-5.95,66.38
11.jpg,corners,corners,1,1,accepted,,otsu_deshadow,otsu_deshadow,78.9,0.876,1252.03,-2.44,67.5
12.jpg,contour,fallback,0,0,rejected,"score<60, conf<0.35",otsu_deshadow,otsu_deshadow,50.4,0.1,494.71,-1.15,63.25
12.jpg,threshold,threshold,1,1,accepted,,otsu_deshadow,otsu_deshadow,62.5,1.0,523.16,-0.89,54.88
12.jpg,hough,hough,1,1,accepted,,otsu_deshadow,otsu_deshadow,70.5,0.987,1357.2,3.88,55.56
12.jpg,corners,corners,1,1,accepted,,otsu_deshadow,otsu_deshadow,74.8,0.867,1466.49,0.0,50.53
13.jpg,contour,fallback,0,0,rejected,"score<60, conf<0.35",otsu_deshadow,otsu_deshadow,54.3,0.1,600.11,0.0,55.43
13.jpg,threshold,threshold,1,1,accepted,,otsu_deshadow,otsu_deshadow,73.5,1.0,780.48,0.0,55.94
13.jpg,hough,hough,1,1,accepted,,otsu_deshadow,otsu_deshadow,78.1,0.996,1657.74,0.0,57.47
13.jpg,corners,corners,1,1,accepted,,otsu_deshadow,otsu_deshadow,70.5,0.835,1772.33,2.1,52.01
14.jpg,contour,fallback,0,0,rejected,"score<60, conf<0.35, binary<45",otsu_deshadow,otsu_deshadow,52.4,0.1,643.04,1.99,43.05
14.jpg,threshold,threshold,1,1,accepted,,otsu_deshadow,otsu_deshadow,70.5,1.0,777.41,-2.97,55.66
14.jpg,hough,hough,1,1,accepted,,otsu_deshadow,otsu_deshadow,61.9,0.963,597.65,4.05,49.78
14.jpg,corners,fallback,0,0,rejected,"score<60, conf<0.35, binary<45",otsu_deshadow,otsu_deshadow,52.4,0.1,643.04,1.99,43.05
15.jpg,contour,fallback,0,0,rejected,conf<0.35,otsu_deshadow,otsu_deshadow,63.2,0.1,1193.5,0.46,48.96
15.jpg,threshold,fallback,0,0,rejected,conf<0.35,otsu_deshadow,otsu_deshadow,63.2,0.1,1193.5,0.46,48.96
15.jpg,hough,hough,1,1,accepted,,otsu_deshadow,otsu_deshadow,78.0,0.972,3156.22,1.21,57.71
15.jpg,corners,corners,1,1,accepted,,otsu_deshadow,otsu_deshadow,66.3,0.793,3633.11,5.97,57.52
16.jpg,contour,fallback,0,0,rejected,conf<0.35,otsu_deshadow,otsu_deshadow,69.1,0.1,2065.1,0.0,63.99
16.jpg,threshold,threshold,1,1,accepted,,otsu_deshadow,otsu_deshadow,79.6,0.88,2161.08,0.42,66.07
16.jpg,hough,hough,1,1,accepted,,otsu_deshadow,otsu_deshadow,81.8,0.991,2668.82,0.0,71.35
16.jpg,corners,fallback,0,0,rejected,conf<0.35,otsu_deshadow,otsu_deshadow,69.1,0.1,2065.1,0.0,63.99
17.jpg,contour,fallback,0,0,rejected,"score<60, conf<0.35",otsu_deshadow,otsu_deshadow,44.7,0.1,293.13,0.0,49.84
17.jpg,threshold,threshold,1,0,rejected,score<60,otsu_deshadow,otsu_deshadow,57.3,0.88,298.4,0.0,51.04
17.jpg,hough,fallback,0,0,rejected,"score<60, conf<0.35",otsu_deshadow,otsu_deshadow,44.7,0.1,293.13,0.0,49.84
