file,method,detection_method,requested_detection_mode,binarization_method,detection_success,usable_scan,quality_status,rejected_input,rejection_reason,quality_flags,sharpness,sharpness_label,skew_angle,skew_label,contrast,brightness,shadow_level,binarization_score,detection_confidence,overall_score,overall_label,background_complexity,lighting_condition,lighting_variation,background_edge_density,document_area_ratio,binary_score_adaptive_gaussian,binary_score_otsu_deshadow,binary_score_sauvola_deshadow,binary_score_hybrid_deshadow
0.jpg,threshold,threshold,auto,adaptive_gaussian,1,1,accepted,0,,,1574.9,Excellent,0.0,Straight,17.91,127.43,24.1,67.11,0.88,78.4,Good,clean,uneven,24.44,0.0,0.95,67.11,58.79,66.8,59.24
1.jpg,threshold,threshold,auto,otsu_deshadow,1,1,accepted,0,,,2233.25,Excellent,0.9,Straight,14.58,179.99,9.49,63.35,1.0,79.1,Good,moderate,uneven,39.12,0.0237,0.55,57.18,63.35,44.45,53.73
10.jpg,threshold,threshold,auto,hybrid_deshadow,1,1,accepted,0,,,3122.68,Excellent,-1.87,Slight,30.2,163.11,41.18,50.04,1.0,79.1,Good,cluttered,uneven,63.64,0.1272,0.584,36.56,49.23,38.05,50.04
11.jpg,threshold,threshold,auto,otsu_deshadow,1,1,accepted,0,,,1450.87,Excellent,-3.4,Slight,27.52,187.53,26.63,67.26,1.0,78.0,Good,moderate,uneven,35.18,0.0566,0.883,61.0,67.26,65.48,54.01
12.jpg,threshold,threshold,auto,adaptive_gaussian,1,1,accepted,0,,,523.16,Good,-0.89,Straight,11.54,130.16,12.52,57.87,1.0,63.0,Good,clean,uneven,25.17,0.0,0.846,57.87,54.88,57.78,46.85
13.jpg,threshold,threshold,auto,otsu_deshadow,1,1,accepted,0,,,780.48,Good,0.0,Straight,14.48,113.56,25.15,55.94,1.0,73.5,Good,clean,uneven,26.8,0.0008,0.843,55.32,55.94,54.75,45.69
14.jpg,threshold,threshold,auto,otsu_deshadow,1,1,accepted,0,,,777.41,Good,-2.97,Slight,20.66,156.81,15.49,55.66,1.0,70.5,Good,cluttered,uneven,16.64,0.2858,0.716,38.99,55.66,52.19,49.66
15.jpg,hough,hough,auto,otsu_deshadow,1,1,accepted,0,,,3156.22,Excellent,1.21,Slight,22.42,170.37,17.55,57.71,0.972,78.0,Good,moderate,uneven,18.02,0.0215,0.215,49.1,57.71,51.69,47.6
16.jpg,threshold,threshold,auto,otsu_deshadow,1,1,accepted,0,,,2161.08,Excellent,0.42,Straight,23.14,182.17,21.84,66.07,0.88,79.6,Good,moderate,uneven,26.5,0.0172,0.95,55.92,66.07,64.36,45.04
17.jpg,threshold,threshold,auto,hybrid_deshadow,1,0,rejected,1,score<60,score<60,298.4,Fair,0.0,Straight,7.71,155.88,7.37,59.75,0.88,58.6,Fair,clean,balanced,8.13,0.0,0.931,52.54,51.04,48.24,59.75
18.jpg,threshold,threshold,auto,otsu_deshadow,1,1,accepted,0,,,1904.63,Excellent,0.0,Straight,24.59,144.2,34.59,50.87,1.0,80.5,Excellent,moderate,uneven,40.85,0.0039,0.788,27.3,50.87,42.07,32.54
19.jpg,threshold,threshold,auto,otsu_deshadow,1,1,accepted,0,,,2501.6,Excellent,-5.14,Moderate,18.06,150.72,16.55,55.93,1.0,69.4,Good,clean,uneven,22.71,0.012,0.549,32.21,55.93,52.85,41.09
2.jpg,hough,hough,auto,otsu_deshadow,1,1,accepted,0,,,6825.03,Excellent,0.0,Straight,18.89,159.57,14.37,49.77,0.985,77.8,Good,moderate,uneven,14.3,0.0966,0.767,36.04,49.77,44.58,39.83
20260225_223207.jpg,hough,hough,auto,sauvola_deshadow,1,1,accepted,0,,,414.85,Good,-2.0,Slight,24.49,142.75,33.23,71.56,0.979,64.5,Good,moderate,uneven,36.89,0.0138,0.646,68.59,57.71,71.56,39.4
20260226_110018.jpg,contour,contour,auto,adaptive_gaussian,1,1,accepted,0,,,1037.44,Excellent,0.0,Straight,17.13,197.15,5.14,57.44,1.0,84.4,Excellent,moderate,uneven,40.89,0.017,0.643,57.44,55.0,54.58,29.35
20260226_133935.jpg,threshold,threshold,auto,adaptive_gaussian,1,1,accepted,0,,,2477.24,Excellent,-1.02,Slight,14.9,181.83,7.73,67.82,1.0,81.1,Excellent,clean,uneven,20.87,0.0121,0.819,67.82,63.36,62.11,58.97
20260226_134043.jpg,threshold,threshold,auto,sauvola_deshadow,1,1,accepted,0,,,296.73,Fair,-1.0,Straight,22.26,154.86,25.27,70.26,1.0,61.9,Good,clean,uneven,44.67,0.0159,0.622,70.0,65.22,70.26,49.3
20260226_134059.jpg,hough,hough,auto,sauvola_deshadow,1,0,rejected,1,score<60,score<60,276.47,Fair,-2.01,Slight,22.18,154.76,25.28,67.93,0.926,57.9,Fair,moderate,uneven,33.11,0.0098,0.609,67.89,63.08,67.93,46.11
20260226_134128.jpg,threshold,threshold,auto,adaptive_gaussian,1,1,accepted,0,,,782.18,Good,-0.46,Straight,16.59,196.37,5.08,58.56,0.996,79.8,Good,moderate,uneven,39.31,0.0065,0.684,58.56,56.03,55.75,31.52
20260226_153924.jpg,hough,hough,auto,sauvola_deshadow,1,1,accepted,0,,,623.11,Good,3.07,Slight,23.52,184.23,16.94,72.94,0.979,68.9,Good,moderate,uneven,27.43,0.0137,0.67,72.91,66.8,72.94,66.26
20260226_153936.jpg,threshold,threshold,auto,adaptive_gaussian,1,0,rejected,1,score<60,score<60,202.08,Fair,-1.0,Straight,21.89,168.89,23.95,71.46,1.0,59.0,Fair,clean,uneven,30.73,0.0009,0.899,71.46,63.49,68.74,57.34
3.jpg,threshold,threshold,auto,otsu_deshadow,1,1,accepted,0,,,4306.66,Excellent,0.98,Straight,19.83,151.64,15.1,56.41,1.0,77.6,Good,clean,uneven,23.69,0.001,0.74,52.31,56.41,48.95,50.94
4.jpg,threshold,threshold,auto,otsu_deshadow,1,1,accepted,0,,,4139.99,Excellent,1.97,Slight,24.08,185.62,17.05,61.57,1.0,78.3,Good,moderate,uneven,26.5,0.0979,0.763,54.11,61.57,57.45,52.93
5.jpg,threshold,threshold,auto,adaptive_gaussian,1,0,rejected,1,score<60,score<60,327.06,Good,0.0,Straight,16.63,167.79,14.09,60.04,0.872,58.9,Fair,clean,uneven,24.24,0.0065,0.902,60.04,58.28,59.25,43.92
6.JPG,threshold,threshold,auto,adaptive_gaussian,1,0,rejected,1,score<60,score<60,329.77,Good,-6.93,Moderate,17.21,176.15,10.25,72.81,1.0,52.4,Fair,moderate,uneven,14.66,0.0097,0.854,72.81,64.47,65.06,67.12
7.jpg,threshold,threshold,auto,otsu_deshadow,1,1,accepted,0,,,2161.08,Excellent,0.42,Straight,23.14,182.17,21.84,66.07,0.88,79.6,Good,moderate,uneven,26.5,0.0172,0.95,55.92,66.07,64.36,45.04
8.jpg,threshold,threshold,auto,otsu_deshadow,1,1,accepted,0,,,2397.6,Excellent,-0.82,Straight,18.83,181.17,12.49,62.68,0.872,76.5,Good,cluttered,uneven,13.57,0.1602,0.941,59.59,62.68,60.75,54.18
9.jpg,threshold,threshold,auto,otsu_deshadow,1,1,accepted,0,,,2334.72,Excellent,0.0,Straight,23.39,144.93,29.27,46.09,1.0,79.3,Good,clean,uneven,55.74,0.0026,0.672,41.31,46.09,40.54,32.87
a01-011x.png,fallback,fallback,auto,adaptive_gaussian,0,0,rejected,1,"score<60, conf<0.35",score<60; conf<0.35,359.72,Good,0.0,Straight,11.35,234.28,3.79,47.33,0.1,51.3,Fair,clean,bright,3.8,0.0008,0.999,47.33,41.11,44.45,43.87
a01-014.png,fallback,fallback,auto,hybrid_deshadow,0,0,rejected,1,"score<60, conf<0.35",score<60; conf<0.35,287.66,Fair,0.0,Straight,11.78,242.31,2.74,65.18,0.1,52.7,Fair,clean,bright,2.75,0.0016,0.999,62.19,45.45,46.02,65.18
a01-026u.png,corners,corners,auto,hybrid_deshadow,1,1,accepted,0,,,281.43,Fair,0.98,Straight,17.79,235.89,3.76,72.28,0.879,65.1,Good,clean,bright,3.13,0.003,0.543,61.3,54.7,56.12,72.28
a01-026x.png,threshold,threshold,auto,adaptive_gaussian,1,1,accepted,0,,,369.12,Good,0.0,Straight,10.84,234.4,2.91,51.84,0.878,64.4,Good,clean,bright,2.86,0.0028,0.979,51.84,41.91,46.64,44.92
a01-030.png,fallback,fallback,auto,hybrid_deshadow,0,0,rejected,1,"score<60, conf<0.35",score<60; conf<0.35,300.65,Good,0.0,Straight,12.25,241.76,3.47,64.38,0.1,52.6,Fair,clean,bright,3.47,0.0003,0.999,60.98,46.56,47.87,64.38
a01-030u.png,corners,corners,auto,hybrid_deshadow,1,1,accepted,0,,,491.46,Good,0.0,Straight,17.18,237.03,3.19,68.85,0.875,73.1,Good,clean,bright,3.02,0.0052,0.461,60.93,55.85,56.3,68.85
G6miiqkWkAAn-bE.jpeg,threshold,threshold,auto,adaptive_gaussian,1,1,accepted,0,,,6378.65,Excellent,-1.9,Slight,16.44,183.18,7.54,65.19,1.0,79.9,Good,clean,uneven,27.44,0.0146,0.727,65.19,64.02,54.25,48.26
IM102426.jpg,corners,corners,auto,otsu_deshadow,1,1,accepted,0,,,927.38,Excellent,2.97,Slight,11.26,158.05,10.82,58.38,0.875,70.4,Good,moderate,uneven,34.7,0.0066,0.526,56.91,58.38,51.74,56.14
thehousedividedcontentpg2.jpg,corners,corners,auto,otsu_deshadow,1,0,rejected,1,skew>12deg,skew>12deg,2264.34,Excellent,18.0,Severe,11.59,225.78,2.82,62.11,0.805,61.8,Good,moderate,uneven,11.89,0.0337,0.328,59.85,62.11,55.69,56.52
we-all-want-impossible-things-catherine-newman.png,hough,hough,auto,sauvola_deshadow,1,0,rejected,1,score<60,score<60,275.83,Fair,0.0,Straight,14.58,147.22,15.76,63.54,0.97,58.5,Fair,moderate,uneven,21.02,0.0131,0.587,59.55,59.53,63.54,41.35
